10-1293,17,27,0
06-6407,15,9,1
08-1191,21,24,0
04-1477,27,29,1
07-1529,21,22,0
06-9130,6,21,0
07-869,15,21,1
04-1324,45,25,0
03-9560,21,37,0
07-11191,42,37,1
04-1152,38,95,1
10-1542,21,25,1
12-126,28,30,1
08-7621,24,21,0
06-11543,30,18,1
03-1566,20,18,0
03-9627,31,24,0
11-1545,28,27,1
06-1505,20,17,1
05-200,42,26,0
05-669,51,45,0
09-6338,35,13,0
09-804,35,33,1
10-568,23,25,1
04-1360,29,54,0
04-8990,14,32,1
09-367,41,28,0
07-5439,18,19,0
07-665,29,40,1
09-520,15,27,0
06-179,36,24,0
07-10441,15,13,1
08-1555,41,43,0
11-551,38,41,0
05-5966,44,36,0
08-1423,15,13,0
04-1144,12,15,1
06-1204,18,17,1
05-1126,28,25,1
11-204,44,36,0
06-157,36,33,1
08-22,33,32,1
05-1448,22,11,1
08-1200,21,28,1
08-88,13,15,1
09-1454,23,41,1
06-427,19,23,1
06-1164,17,17,0
12-62,38,27,1
05-83,16,19,1
09-11328,10,9,0
07-1125,25,20,1
05-493,29,31,1
10-930,23,12,1
06-480,23,14,1
08-1553,36,34,1
09-10876,35,26,1
03-388,16,51,1
09-329,19,14,1
11-166,32,20,0
06-116,10,20,1
08-905,37,18,0
07-773,19,23,1
04-698,54,72,0
09-1498,29,10,0
09-1273,29,15,1
04-1264,16,9,1
09-587,24,14,1
09-11121,35,34,1
03-814,35,23,1
04-6964,23,27,1
03-1395,11,30,1
09-1233,41,47,0
09-350,14,42,1
10-238,17,22,1
11-770,23,31,1
06-939,20,25,1
07-6984,10,21,1
07-343,38,19,1
08-7412,28,39,1
07-210,7,8,0
08-1107,21,14,1
09-868,46,23,0
04-928,41,55,1
03-1293,23,6,0
11-697,19,33,1
05-1429,17,20,1
09-479,18,34,0
04-631,43,81,1
04-1376,43,45,0
10-179,14,14,0
05-9264,15,22,0
03-9168,24,29,1
08-1457,24,26,1
08-289,34,36,1
10-507,17,32,1
05-1589,19,37,1
07-499,27,26,1
07-1315,18,27,1
08-861,71,56,1
09-987,25,25,1
08-304,22,28,1
07-77,24,24,1
04-1327,24,32,1
07-581,18,32,1
07-526,21,26,1
04-5293,20,36,1
08-876,17,42,1
05-11304,21,23,1
04-1131,30,29,1
05-1056,28,25,1
03-8661,29,32,1
07-608,25,19,1
05-130,15,21,1
06-1431,29,25,0
06-340,21,27,1
03-184,28,38,1
05-1345,26,27,0
05-1074,20,13,0
04-944,18,24,1
04-563,23,17,1
07-1114,23,23,1
08-1134,38,43,0
08-598,13,21,1
05-785,17,15,1
09-152,18,34,0
06-1322,28,22,0
07-1209,15,16,1
10-577,14,30,0
06-5618,13,6,0
03-1696,22,18,1
08-322,31,29,1
05-380,20,13,1
07-208,12,34,1
03-1693,9,5,0
11-1285,23,30,0
10-1320,39,18,0
04-104,13,26,0
03-931,10,16,1
03-1407,33,26,1
11-597,27,39,1
04-1506,28,22,0
10-188,13,18,1
09-893,13,15,1
06-484,23,20,1
03-1423,29,21,1
10-694,15,46,1
03-1160,24,29,0
10-545,32,26,0
07-308,11,26,1
10-218,31,38,1
08-1438,14,11,0
04-70,22,49,0
08-1065,30,33,0
07-1372,17,31,1
04-1739,24,30,1
11-564,38,38,0
08-538,25,21,1
06-1321,22,34,1
04-759,35,31,1
04-1329,27,23,1
10-382,14,14,1
07-751,24,25,1
04-597,34,61,1
09-223,23,15,1
09-530,36,41,1
09-338,24,28,1
08-660,21,37,0
06-1456,39,30,1
04-1186,25,9,1
06-6911,13,7,0
06-84,25,17,1
11-9953,31,23,0
04-603,18,4,0
04-1414,34,24,1
04-1544,23,28,1
09-5201,22,24,0
06-618,36,7,0
09-525,52,55,1
10-708,32,55,0
08-1301,28,36,1
06-637,17,24,0
08-681,18,8,1
03-1116,47,64,0
12-43,27,31,1
